69.30.211.2 - - [11/Dec/2015:19:51:32 -0800] "GET /Dentists-Bowie-MD.html HTTP/1.1" 200 38040 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "www.superior-dentistry.com"
188.165.198.130 - - [11/Dec/2015:19:51:36 -0800] "GET /firstvisit.php HTTP/1.1" 200 73 "-" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5" "www.superior-dentistry.com"
188.165.198.130 - - [11/Dec/2015:19:51:39 -0800] "GET /https://www.opencare.com HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5" "www.superior-dentistry.com"
188.165.198.130 - - [11/Dec/2015:19:51:41 -0800] "GET /testimonials.html HTTP/1.1" 200 24783 "-" "Mozilla/5.0 (X11; U; Linux i686; en-US) AppleWebKit/534.15 (KHTML, like Gecko) Ubuntu/10.10 Chromium/10.0.611.0 Chrome/10.0.611.0 Safari/534.15" "www.superior-dentistry.com"
188.165.198.130 - - [11/Dec/2015:19:51:48 -0800] "GET /https://twitter.com/DentistBowieMD HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_6; en-US) AppleWebKit/534.16 (KHTML, like Gecko) Chrome/10.0.648.134 Safari/534.16" "www.superior-dentistry.com"
188.165.198.130 - - [11/Dec/2015:19:51:50 -0800] "GET /https://plus.google.com/105833397316628847382/about HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 6.2; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1667.0 Safari/537.36" "www.superior-dentistry.com"
188.165.198.130 - - [11/Dec/2015:19:51:57 -0800] "GET /Dental-Sites-We-Like.html HTTP/1.1" 200 41324 "-" "Mozilla/1.22 (compatible; MSIE 10.0; Windows 3.1)" "www.superior-dentistry.com"
188.165.198.130 - - [11/Dec/2015:19:52:01 -0800] "GET /Dentist-Bowie-MD/Periodontal-Services-Maryland-MD.html HTTP/1.1" 200 19779 "-" "Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US) AppleWebKit/534.16 (KHTML, like Gecko) Chrome/10.0.638.0 Safari/534.16" "www.superior-dentistry.com"
188.165.198.130 - - [11/Dec/2015:19:52:04 -0800] "GET /Dentist-Bowie-MD/Tooth-Extractions-Maryland-MD.html HTTP/1.1" 200 32565 "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows Phone OS 7.5; Trident/5.0; IEMobile/9.0)" "www.superior-dentistry.com"
188.165.198.130 - - [11/Dec/2015:19:52:11 -0800] "GET /Dental-Links.html HTTP/1.1" 200 27636 "-" "Mozilla/1.22 (compatible; MSIE 10.0; Windows 3.1)" "www.superior-dentistry.com"
188.165.198.130 - - [11/Dec/2015:19:52:13 -0800] "GET /meet-staff.php HTTP/1.1" 200 73 "-" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_6; en-US) AppleWebKit/534.16 (KHTML, like Gecko) Chrome/10.0.648.134 Safari/534.16" "www.superior-dentistry.com"
188.165.198.130 - - [11/Dec/2015:19:52:16 -0800] "GET /Bowie-Dentists/Preventive-Dentistry-Maryland.html HTTP/1.1" 200 39411 "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Win64; x64; Trident/5.0; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET CLR 2.0.50727; Media Center PC 6.0)" "www.superior-dentistry.com"
111.13.102.6 - - [11/Dec/2015:20:04:37 -0800] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (Windows NT 5.1; rv:6.0.2) Gecko/20100101 Firefox/6.0.2" "superior-dentistry.com"
73.132.158.104 - - [11/Dec/2015:20:17:25 -0800] "GET /services.html HTTP/1.1" 200 34114 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36" "www.superior-dentistry.com"
73.132.158.104 - - [11/Dec/2015:20:17:25 -0800] "GET /css/bootstrap.css HTTP/1.1" 200 138415 "http://www.superior-dentistry.com/services.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36" "www.superior-dentistry.com"
73.132.158.104 - - [11/Dec/2015:20:17:25 -0800] "GET /css/bootstrap-theme.css HTTP/1.1" 200 19156 "http://www.superior-dentistry.com/services.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36" "www.superior-dentistry.com"
73.132.158.104 - - [11/Dec/2015:20:17:25 -0800] "GET /theme.css HTTP/1.1" 200 1926 "http://www.superior-dentistry.com/services.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36" "www.superior-dentistry.com"
73.132.158.104 - - [11/Dec/2015:20:17:25 -0800] "GET /js/ie-emulation-modes-warning.js HTTP/1.1" 200 2132 "http://www.superior-dentistry.com/services.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36" "www.superior-dentistry.com"
