73.163.104.95 - - [17/Feb/2016:19:08:56 -0800] "GET /img/slider1.jpg HTTP/1.1" 200 268888 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.109 Safari/537.36" "www.superior-dentistry.com"
73.163.104.95 - - [17/Feb/2016:19:08:56 -0800] "GET /img/slider3.jpg HTTP/1.1" 200 217901 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.109 Safari/537.36" "www.superior-dentistry.com"
73.163.104.95 - - [17/Feb/2016:19:08:56 -0800] "GET /img/meetdr-ali.jpg HTTP/1.1" 200 60533 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.109 Safari/537.36" "www.superior-dentistry.com"
73.163.104.95 - - [17/Feb/2016:19:08:56 -0800] "GET /img/offer-31-05-2014-sonicare-brush.jpg HTTP/1.1" 200 13165 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.109 Safari/537.36" "www.superior-dentistry.com"
73.163.104.95 - - [17/Feb/2016:19:08:57 -0800] "GET /img/offer-31-05-2014-whitening.jpg HTTP/1.1" 200 15686 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.109 Safari/537.36" "www.superior-dentistry.com"
73.163.104.95 - - [17/Feb/2016:19:08:57 -0800] "GET /js/bootstrap.min.js HTTP/1.1" 200 35601 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.109 Safari/537.36" "www.superior-dentistry.com"
73.163.104.95 - - [17/Feb/2016:19:08:57 -0800] "GET /js/docs.min.js HTTP/1.1" 200 43299 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.109 Safari/537.36" "www.superior-dentistry.com"
73.163.104.95 - - [17/Feb/2016:19:08:57 -0800] "GET /js/ie10-viewport-bug-workaround.js HTTP/1.1" 200 694 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.109 Safari/537.36" "www.superior-dentistry.com"
73.163.104.95 - - [17/Feb/2016:19:08:58 -0800] "GET /fonts/fontawesome-webfont.woff2?v=4.3.0 HTTP/1.1" 200 56780 "http://www.superior-dentistry.com/css/font-awesome.css" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.109 Safari/537.36" "www.superior-dentistry.com"
73.163.104.95 - - [17/Feb/2016:19:08:58 -0800] "GET /img/zocdoc-apt.jpg HTTP/1.1" 200 79396 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.109 Safari/537.36" "www.superior-dentistry.com"
73.163.104.95 - - [17/Feb/2016:19:09:04 -0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1455764937110 HTTP/1.1" 404 89 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.109 Safari/537.36" "www.superior-dentistry.com"
208.122.6.102 - - [17/Feb/2016:19:10:41 -0800] "GET / HTTP/1.1" 200 38156 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
157.56.2.203 - - [17/Feb/2016:19:24:33 -0800] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36 (BingLocalSearch)" "www.superior-dentistry.com"
157.56.2.203 - - [17/Feb/2016:19:24:35 -0800] "GET / HTTP/1.1" 200 38156 "-" "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36 (BingLocalSearch)" "www.superior-dentistry.com"
73.250.141.220 - - [17/Feb/2016:19:30:15 -0800] "GET /Dentist-Bowie-MD/Tooth-Extractions-Maryland-MD.html HTTP/1.1" 200 32565 "https://www.google.com/" "Mozilla/5.0 (iPad; CPU OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53" "www.superior-dentistry.com"
73.250.141.220 - - [17/Feb/2016:19:30:15 -0800] "GET /Dentist-Bowie-MD/css/style.css HTTP/1.1" 200 19818 "http://www.superior-dentistry.com/Dentist-Bowie-MD/Tooth-Extractions-Maryland-MD.html" "Mozilla/5.0 (iPad; CPU OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53" "www.superior-dentistry.com"
73.250.141.220 - - [17/Feb/2016:19:30:16 -0800] "GET /Dentist-Bowie-MD/js/jquery.easing.1.3.js HTTP/1.1" 200 3517 "http://www.superior-dentistry.com/Dentist-Bowie-MD/Tooth-Extractions-Maryland-MD.html" "Mozilla/5.0 (iPad; CPU OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53" "www.superior-dentistry.com"
73.250.141.220 - - [17/Feb/2016:19:30:16 -0800] "GET /Dentist-Bowie-MD/js/jquery-1.6.4.min.js HTTP/1.1" 200 91669 "http://www.superior-dentistry.com/Dentist-Bowie-MD/Tooth-Extractions-Maryland-MD.html" "Mozilla/5.0 (iPad; CPU OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53" "www.superior-dentistry.com"
73.250.141.220 - - [17/Feb/2016:19:30:16 -0800] "GET /Dentist-Bowie-MD/css/reset.css HTTP/1.1" 200 922 "http://www.superior-dentistry.com/Dentist-Bowie-MD/Tooth-Extractions-Maryland-MD.html" "Mozilla/5.0 (iPad; CPU OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53" "www.superior-dentistry.com"
73.250.141.220 - - [17/Feb/2016:19:30:16 -0800] "GET /Dentist-Bowie-MD/css/grid.css HTTP/1.1" 200 5182 "http://www.superior-dentistry.com/Dentist-Bowie-MD/Tooth-Extractions-Maryland-MD.html" "Mozilla/5.0 (iPad; CPU OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53" "www.superior-dentistry.com"
73.250.141.220 - - [17/Feb/2016:19:30:16 -0800] "GET /Dentist-Bowie-MD/css/forms.css HTTP/1.1" 200 2909 "http://www.superior-dentistry.com/Dentist-Bowie-MD/Tooth-Extractions-Maryland-MD.html" "Mozilla/5.0 (iPad; CPU OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53" "www.superior-dentistry.com"
73.250.141.220 - - [17/Feb/2016:19:30:16 -0800] "GET /images/care1.jpg HTTP/1.1" 404 89 "http://www.superior-dentistry.com/Dentist-Bowie-MD/Tooth-Extractions-Maryland-MD.html" "Mozilla/5.0 (iPad; CPU OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53" "www.superior-dentistry.com"
73.250.141.220 - - [17/Feb/2016:19:30:16 -0800] "GET /images/care2.jpg HTTP/1.1" 404 89 "http://www.superior-dentistry.com/Dentist-Bowie-MD/Tooth-Extractions-Maryland-MD.html" "Mozilla/5.0 (iPad; CPU OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53" "www.superior-dentistry.com"
73.250.141.220 - - [17/Feb/2016:19:30:16 -0800] "GET /images/care6.jpg HTTP/1.1" 404 89 "http://www.superior-dentistry.com/Dentist-Bowie-MD/Tooth-Extractions-Maryland-MD.html" "Mozilla/5.0 (iPad; CPU OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53" "www.superior-dentistry.com"
73.250.141.220 - - [17/Feb/2016:19:30:16 -0800] "GET /images/care5.jpg HTTP/1.1" 404 89 "http://www.superior-dentistry.com/Dentist-Bowie-MD/Tooth-Extractions-Maryland-MD.html" "Mozilla/5.0 (iPad; CPU OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53" "www.superior-dentistry.com"
73.250.141.220 - - [17/Feb/2016:19:30:16 -0800] "GET /images/care4.jpg HTTP/1.1" 404 89 "http://www.superior-dentistry.com/Dentist-Bowie-MD/Tooth-Extractions-Maryland-MD.html" "Mozilla/5.0 (iPad; CPU OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53" "www.superior-dentistry.com"
73.250.141.220 - - [17/Feb/2016:19:30:16 -0800] "GET /images/twitter.png HTTP/1.1" 404 89 "http://www.superior-dentistry.com/Dentist-Bowie-MD/Tooth-Extractions-Maryland-MD.html" "Mozilla/5.0 (iPad; CPU OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53" "www.superior-dentistry.com"
73.250.141.220 - - [17/Feb/2016:19:30:16 -0800] "GET /Dentist-Bowie-MD/images/logo1.jpg HTTP/1.1" 200 37169 "http://www.superior-dentistry.com/Dentist-Bowie-MD/Tooth-Extractions-Maryland-MD.html" "Mozilla/5.0 (iPad; CPU OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53" "www.superior-dentistry.com"
73.250.141.220 - - [17/Feb/2016:19:30:16 -0800] "GET /images/care1.jpg HTTP/1.1" 404 89 "http://www.superior-dentistry.com/Dentist-Bowie-MD/Tooth-Extractions-Maryland-MD.html" "Mozilla/5.0 (iPad; CPU OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53" "www.superior-dentistry.com"
73.250.141.220 - - [17/Feb/2016:19:30:16 -0800] "GET /Dentist-Bowie-MD/css/images/overlay.png HTTP/1.1" 404 89 "http://www.superior-dentistry.com/Dentist-Bowie-MD/Tooth-Extractions-Maryland-MD.html" "Mozilla/5.0 (iPad; CPU OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53" "www.superior-dentistry.com"
73.250.141.220 - - [17/Feb/2016:19:30:16 -0800] "GET /images/services3.png HTTP/1.1" 404 89 "http://www.superior-dentistry.com/Dentist-Bowie-MD/Tooth-Extractions-Maryland-MD.html" "Mozilla/5.0 (iPad; CPU OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53" "www.superior-dentistry.com"
73.250.141.220 - - [17/Feb/2016:19:30:18 -0800] "GET /images/Patient-apt-icon2.png HTTP/1.1" 404 89 "http://www.superior-dentistry.com/Dentist-Bowie-MD/Tooth-Extractions-Maryland-MD.html" "Mozilla/5.0 (iPad; CPU OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53" "www.superior-dentistry.com"
