198.16.7.150 - - [25/Apr/2016:20:00:30 -0700] "GET / HTTP/1.1" 200 38900 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
180.76.15.10 - - [25/Apr/2016:20:10:15 -0700] "GET /js/jquery-1.6.4.min.js HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "superior-dentistry.com"
178.137.90.202 - - [25/Apr/2016:20:18:13 -0700] "GET / HTTP/1.1" 200 38900 "http://carsnumber.com/" "Mozilla/3.0 (compatible; WebCapture 2.0; Auto; Windows)" "www.superior-dentistry.com"
93.118.73.107 - - [25/Apr/2016:20:35:49 -0700] "GET /Dental-Links.html HTTP/1.1" 200 27799 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:37.0) Gecko/20100101 Firefox/37.0" "www.superior-dentistry.com"[0]
188.208.15.228 - - [25/Apr/2016:20:35:49 -0700] "GET /sitemap.html HTTP/1.1" 200 9525 "-" "Mozilla/5.0 (Windows NT 6.1; rv:37.0) Gecko/20100101 Firefox/37.0" "www.superior-dentistry.com"
188.208.12.30 - - [25/Apr/2016:20:36:12 -0700] "GET /wisdom-teeth.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:37.0) Gecko/20100101 Firefox/37.0" "www.superior-dentistry.com"
93.118.73.61 - - [25/Apr/2016:20:36:13 -0700] "GET /tmj-disorder.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/600.5.17 (KHTML, like Gecko) Version/8.0.5 Safari/600.5.17" "www.superior-dentistry.com"
93.118.75.166 - - [25/Apr/2016:20:36:13 -0700] "GET /blog.php HTTP/1.1" 200 107037 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36" "www.superior-dentistry.com"
93.118.73.90 - - [25/Apr/2016:20:36:13 -0700] "GET /Bowie-Dentists/Preventive-Dentistry-Maryland.html HTTP/1.1" 200 39411 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36" "www.superior-dentistry.com"
188.208.12.29 - - [25/Apr/2016:20:36:13 -0700] "GET /Bowie-Dentists/Periodontal-Therapy-Maryland.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36" "www.superior-dentistry.com"
93.118.75.98 - - [25/Apr/2016:20:36:14 -0700] "GET /' HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "www.superior-dentistry.com"
89.47.19.37 - - [25/Apr/2016:20:36:14 -0700] "GET /Bowie-Dentists-Sitemap.html HTTP/1.1" 200 28395 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36" "www.superior-dentistry.com"
188.208.15.101 - - [25/Apr/2016:20:36:14 -0700] "GET /Dentists-Bowie-MD.html HTTP/1.1" 200 27344 "-" "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.65 Safari/537.36" "www.superior-dentistry.com"
88.80.20.171 - - [25/Apr/2016:20:36:15 -0700] "GET /images/logo1.jpg' HTTP/1.1" 404 89 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F70 Safari/600.1.4" "www.superior-dentistry.com"
88.80.21.188 - - [25/Apr/2016:20:36:15 -0700] "GET /index.html HTTP/1.1" 200 38900 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:37.0) Gecko/20100101 Firefox/37.0" "www.superior-dentistry.com"
93.118.73.61 - - [25/Apr/2016:20:36:15 -0700] "GET /extractions.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.90 Safari/537.36" "www.superior-dentistry.com"
188.208.3.3 - - [25/Apr/2016:20:36:24 -0700] "GET /testimonial.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F70 Safari/600.1.4" "www.superior-dentistry.com"
157.55.39.242 - - [25/Apr/2016:20:52:24 -0700] "GET /img/wisdom-teeth-extraction.jpg HTTP/1.1" 200 23758 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
157.55.39.206 - - [25/Apr/2016:20:55:12 -0700] "GET /Bowie-Dentists/images/care1.jpg HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
198.16.7.150 - - [25/Apr/2016:21:09:41 -0700] "GET / HTTP/1.1" 200 38900 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
49.148.12.71 - - [25/Apr/2016:21:18:18 -0700] "GET / HTTP/1.1" 200 38900 "-" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.0)" "www.superior-dentistry.com"
49.148.12.71 - - [25/Apr/2016:21:18:22 -0700] "GET /contact-us.html HTTP/1.1" 200 23728 "-" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.0)" "www.superior-dentistry.com"
169.54.233.119 - - [25/Apr/2016:21:39:26 -0700] "GET / HTTP/1.1" 403 255 "-" "-" "superior-dentistry.com"
61.135.190.102 - - [25/Apr/2016:21:42:29 -0700] "GET /js/ie-emulation-modes-warning.js HTTP/1.1" 304 - "http://www.superior-dentistry.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 5_0 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9A334 Safari/7534.48.3" "www.superior-dentistry.com"
