17.142.159.151 - - [07/Jan/2016:20:28:58 -0800] "GET /images/logo1.jpg HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/600.2.5 (KHTML, like Gecko) Version/8.0.2 Safari/600.2.5 (Applebot/0.1; +http://www.apple.com/go/applebot)" "www.superior-dentistry.com"
17.142.159.151 - - [07/Jan/2016:20:28:58 -0800] "GET /images/logo1.jpg HTTP/1.1" 404 89 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 8_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B410 Safari/600.1.4 (Applebot/0.1; +http://www.apple.com/go/applebot)" "www.superior-dentistry.com"
17.142.159.151 - - [07/Jan/2016:20:28:58 -0800] "GET /images/logo1.jpg HTTP/1.1" 404 89 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 8_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B410 Safari/600.1.4 (Applebot/0.1; +http://www.apple.com/go/applebot)" "www.superior-dentistry.com"
74.214.194.29 - - [07/Jan/2016:20:35:36 -0800] "GET / HTTP/1.1" 200 38156 "-" "Pulsepoint XT3 web scraper" "superior-dentistry.com"
74.214.194.21 - - [07/Jan/2016:20:35:36 -0800] "GET /theme.css HTTP/1.1" 200 1926 "http://superior-dentistry.com/" "Pulsepoint XT3 web scraper" "superior-dentistry.com"
74.214.194.28 - - [07/Jan/2016:20:35:36 -0800] "GET /css/font-awesome.css HTTP/1.1" 200 28747 "http://superior-dentistry.com/" "Pulsepoint XT3 web scraper" "superior-dentistry.com"
74.214.194.18 - - [07/Jan/2016:20:35:36 -0800] "GET /js/bootstrap.min.js HTTP/1.1" 200 35601 "http://superior-dentistry.com/" "Pulsepoint XT3 web scraper" "superior-dentistry.com"
74.214.194.20 - - [07/Jan/2016:20:35:36 -0800] "GET /js/ie-emulation-modes-warning.js HTTP/1.1" 200 2132 "http://superior-dentistry.com/" "Pulsepoint XT3 web scraper" "superior-dentistry.com"
74.214.194.23 - - [07/Jan/2016:20:35:36 -0800] "GET /css/bootstrap-theme.css HTTP/1.1" 200 19156 "http://superior-dentistry.com/" "Pulsepoint XT3 web scraper" "superior-dentistry.com"
74.214.194.21 - - [07/Jan/2016:20:35:36 -0800] "GET /js/docs.min.js HTTP/1.1" 200 43299 "http://superior-dentistry.com/" "Pulsepoint XT3 web scraper" "superior-dentistry.com"
74.214.194.20 - - [07/Jan/2016:20:35:36 -0800] "GET /js/ie10-viewport-bug-workaround.js HTTP/1.1" 200 694 "http://superior-dentistry.com/" "Pulsepoint XT3 web scraper" "superior-dentistry.com"
199.16.156.125 - - [07/Jan/2016:20:49:49 -0800] "GET /robots.txt HTTP/1.1" 200 49 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
199.16.156.125 - - [07/Jan/2016:20:49:49 -0800] "GET /robots.txt HTTP/1.1" 200 49 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
199.16.156.125 - - [07/Jan/2016:20:49:49 -0800] "GET /robots.txt HTTP/1.1" 200 49 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
199.16.156.125 - - [07/Jan/2016:20:49:49 -0800] "GET /Bowie-Dentists/Preventive-Dentistry-Maryland.html HTTP/1.1" 200 39411 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
199.16.156.125 - - [07/Jan/2016:20:49:49 -0800] "GET /Bowie-Dentists/Periodontal-Therapy-Maryland.html HTTP/1.1" 200 40166 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
199.16.156.126 - - [07/Jan/2016:20:49:49 -0800] "GET /images/logo1.jpg HTTP/1.1" 404 89 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
199.16.156.125 - - [07/Jan/2016:20:49:49 -0800] "GET /images/logo1.jpg HTTP/1.1" 404 89 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
199.16.156.125 - - [07/Jan/2016:20:49:49 -0800] "GET /images/logo1.jpg HTTP/1.1" 404 89 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
