62.210.148.247 - - [18/Oct/2015:21:00:08 -0700] "GET /%E2%80%9Dhttp://www.nicedentist.com HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "www.superior-dentistry.com"
100.43.90.11 - - [18/Oct/2015:21:01:29 -0700] "GET /index.php HTTP/1.1" 200 73 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "www.superior-dentistry.com"
54.225.99.218 - - [18/Oct/2015:21:24:34 -0700] "HEAD /Dental-LinkExchange.html HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.7.5) Gecko/20041107 Firefox/1.0" "superior-dentistry.com"
54.225.99.218 - - [18/Oct/2015:21:24:34 -0700] "GET /Dental-LinkExchange.html HTTP/1.1" 200 25575 "-" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.7.5) Gecko/20041107 Firefox/1.0" "superior-dentistry.com"
54.225.99.218 - - [18/Oct/2015:21:24:34 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)" "superior-dentistry.com"
100.43.91.5 - - [18/Oct/2015:21:40:32 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "www.superior-dentistry.com"
180.76.15.19 - - [18/Oct/2015:21:41:41 -0700] "GET /Bowie-Dentists/Periodontal-Therapy-Maryland.html HTTP/1.1" 200 40166 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.superior-dentistry.com"
65.36.241.48 - - [18/Oct/2015:21:55:29 -0700] "HEAD / HTTP/1.1" 200 0 "-" "InternetSeer.com" "www.superior-dentistry.com"
65.36.241.48 - - [18/Oct/2015:21:55:29 -0700] "HEAD / HTTP/1.1" 200 0 "-" "InternetSeer.com" "www.superior-dentistry.com"
68.111.206.33 - - [18/Oct/2015:22:00:51 -0700] "GET /images/offer-31-05-2014-new-patient.jpg HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0" "www.superior-dentistry.com"
