23.81.218.139 - - [07/Jun/2016:23:04:48 -0700] "GET /contact-us.php HTTP/1.1" 200 73 "-" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1878.32 Safari/537.36" "www.superior-dentistry.com"
69.30.198.178 - - [07/Jun/2016:23:07:46 -0700] "GET /special-offers.html HTTP/1.1" 200 23685 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "www.superior-dentistry.com"
184.89.149.140 - - [07/Jun/2016:23:47:03 -0700] "GET /img/periodontalsurgery.jpg HTTP/1.1" 200 56963 "https://www.google.com/" "Mozilla/5.0 (iPad; CPU OS 8_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12D508 Safari/600.1.4" "www.superior-dentistry.com"
198.16.7.150 - - [07/Jun/2016:23:51:13 -0700] "GET / HTTP/1.1" 200 38900 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
17.142.159.177 - - [08/Jun/2016:00:35:11 -0700] "GET / HTTP/1.1" 200 38900 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/600.2.5 (KHTML, like Gecko) Version/8.0.2 Safari/600.2.5 (Applebot/0.1; +http://www.apple.com/go/applebot)" "www.superior-dentistry.com"
17.142.159.177 - - [08/Jun/2016:00:35:11 -0700] "GET / HTTP/1.1" 200 38900 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 8_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B410 Safari/600.1.4 (Applebot/0.1; +http://www.apple.com/go/applebot)" "www.superior-dentistry.com"
157.55.39.182 - - [08/Jun/2016:01:53:33 -0700] "GET /Dental-Sites-We-Like.html HTTP/1.1" 200 41846 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
198.16.7.150 - - [08/Jun/2016:01:54:05 -0700] "GET / HTTP/1.1" 200 38900 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
68.180.229.158 - - [08/Jun/2016:02:41:52 -0700] "GET /Bowie-Dentists/Patient-Before-After-Gallery.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)" "www.superior-dentistry.com"
68.180.229.158 - - [08/Jun/2016:02:47:20 -0700] "GET /Bowie-Dentists/contact-us.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)" "www.superior-dentistry.com"
66.249.88.65 - - [08/Jun/2016:02:47:36 -0700] "GET /images/care2.jpg HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 5.1; rv:11.0) Gecko Firefox/11.0 (via ggpht.com GoogleImageProxy)" "www.superior-dentistry.com"
68.180.229.158 - - [08/Jun/2016:02:49:16 -0700] "GET /Bowie-Dentists/index.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)" "www.superior-dentistry.com"
198.16.7.150 - - [08/Jun/2016:02:54:56 -0700] "GET / HTTP/1.1" 200 38900 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
17.142.159.177 - - [08/Jun/2016:02:58:27 -0700] "GET /images/logo1.jpg HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/600.2.5 (KHTML, like Gecko) Version/8.0.2 Safari/600.2.5 (Applebot/0.1; +http://www.apple.com/go/applebot)" "www.superior-dentistry.com"
17.142.159.177 - - [08/Jun/2016:02:58:27 -0700] "GET /images/logo1.jpg HTTP/1.1" 404 89 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 8_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B410 Safari/600.1.4 (Applebot/0.1; +http://www.apple.com/go/applebot)" "www.superior-dentistry.com"
