52.0.238.61 - - [16/Dec/2015:20:54:52 -0800] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (compatible; proximic; +http://www.proximic.com/info/spider.php)" "superior-dentistry.com"
208.122.6.102 - - [16/Dec/2015:20:58:39 -0800] "GET / HTTP/1.1" 200 38156 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
52.91.223.34 - - [16/Dec/2015:21:34:14 -0800] "GET / HTTP/1.1" 200 38156 "-" "Mozilla/5.0 (compatible; proximic; +http://www.proximic.com/info/spider.php)" "superior-dentistry.com"
206.16.134.16 - - [16/Dec/2015:21:37:46 -0800] "GET / HTTP/1.1" 200 38156 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20120101 Firefox/29.0" "superior-dentistry.com"
208.122.6.102 - - [16/Dec/2015:22:00:22 -0800] "GET / HTTP/1.1" 200 38156 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
120.61.37.185 - - [16/Dec/2015:22:04:14 -0800] "GET /css/procedure-thumb.css HTTP/1.1" 200 2005 "http://www.superior-dentistry.com/firstvisit.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36" "www.superior-dentistry.com"
120.61.37.185 - - [16/Dec/2015:22:04:17 -0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1450332256215 HTTP/1.1" 404 89 "http://www.superior-dentistry.com/firstvisit.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36" "www.superior-dentistry.com"
120.61.37.185 - - [16/Dec/2015:22:04:18 -0800] "GET /contact-us.html HTTP/1.1" 200 23726 "http://www.superior-dentistry.com/firstvisit.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36" "www.superior-dentistry.com"
199.16.156.124 - - [16/Dec/2015:22:04:23 -0800] "GET /robots.txt HTTP/1.1" 200 49 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
180.76.15.150 - - [16/Dec/2015:22:04:32 -0800] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (Windows NT 5.1; rv:6.0.2) Gecko/20100101 Firefox/6.0.2" "superior-dentistry.com"
120.61.37.185 - - [16/Dec/2015:22:04:59 -0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1450332297416 HTTP/1.1" 404 89 "http://www.superior-dentistry.com/services.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36" "www.superior-dentistry.com"
188.166.64.102 - - [16/Dec/2015:22:15:21 -0800] "HEAD / HTTP/1.1" 200 0 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.64 Safari/537.11" "www.superior-dentistry.com"
45.33.61.138 - - [16/Dec/2015:22:25:49 -0800] "HEAD / HTTP/1.1" 200 0 "http://scripted.com/superior-dentistry.com" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko" "superior-dentistry.com"
95.142.163.99 - - [16/Dec/2015:22:34:30 -0800] "GET /contact-us.php HTTP/1.1" 200 73 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:26.0) Gecko/20100101 Firefox/26.0" "www.superior-dentistry.com"
123.125.71.34 - - [16/Dec/2015:22:57:24 -0800] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (Windows NT 5.1; rv:6.0.2) Gecko/20100101 Firefox/6.0.2" "www.superior-dentistry.com"
120.61.37.185 - - [16/Dec/2015:22:58:20 -0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1450332258829 HTTP/1.1" 404 89 "http://www.superior-dentistry.com/contact-us.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36" "www.superior-dentistry.com"
172.245.224.226 - - [16/Dec/2015:23:34:34 -0800] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "www.superior-dentistry.com"
