86.122.244.157 - - [15/Apr/2016:01:14:31 -0700] "GET / HTTP/1.1" 200 38156 "https://www.google.com" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:44.0) Gecko/20100101 Firefox/44.0" "www.superior-dentistry.com"
207.46.13.130 - - [15/Apr/2016:01:16:56 -0700] "GET /Bowie-Dentists/Childrens-Dentistry-Maryland.html HTTP/1.1" 200 39945 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
198.16.7.150 - - [15/Apr/2016:01:20:48 -0700] "GET / HTTP/1.1" 200 38156 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
45.79.81.142 - - [15/Apr/2016:02:01:09 -0700] "HEAD / HTTP/1.1" 200 0 "http://uptime.com/superior-dentistry.com" "Mozilla/5.0 (compatible; Uptimebot/1.0; +http://www.uptime.com/uptimebot)" "superior-dentistry.com"
111.206.36.144 - - [15/Apr/2016:02:08:17 -0700] "GET /services.php HTTP/1.1" 200 73 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.93 Safari/537.36" "www.superior-dentistry.com"
198.16.7.150 - - [15/Apr/2016:02:23:35 -0700] "GET / HTTP/1.1" 200 38156 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
66.249.66.30 - - [15/Apr/2016:02:27:41 -0700] "GET /apple-app-site-association HTTP/1.1" 403 255 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "www.superior-dentistry.com"
198.16.7.150 - - [15/Apr/2016:03:24:48 -0700] "GET / HTTP/1.1" 200 38156 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
201.43.42.43 - - [15/Apr/2016:03:36:23 -0700] "GET / HTTP/1.1" 200 38156 "http://keywords-monitoring-your-success.com/try.php?u=http://superior-dentistry.com" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36" "superior-dentistry.com"
201.43.42.43 - - [15/Apr/2016:03:36:28 -0700] "GET /css/bootstrap.css HTTP/1.1" 200 138415 "http://superior-dentistry.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36" "superior-dentistry.com"
201.43.42.43 - - [15/Apr/2016:03:36:28 -0700] "GET /css/font-awesome.css HTTP/1.1" 200 28747 "http://superior-dentistry.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36" "superior-dentistry.com"
201.43.42.43 - - [15/Apr/2016:03:36:28 -0700] "GET /css/bootstrap-theme.css HTTP/1.1" 200 19156 "http://superior-dentistry.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36" "superior-dentistry.com"
201.43.42.43 - - [15/Apr/2016:03:36:28 -0700] "GET /theme.css HTTP/1.1" 200 1926 "http://superior-dentistry.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36" "superior-dentistry.com"
201.43.42.43 - - [15/Apr/2016:03:36:28 -0700] "GET /js/ie-emulation-modes-warning.js HTTP/1.1" 200 2132 "http://superior-dentistry.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36" "superior-dentistry.com"
201.43.42.43 - - [15/Apr/2016:03:36:28 -0700] "GET /js/bootstrap.min.js HTTP/1.1" 200 35601 "http://superior-dentistry.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36" "superior-dentistry.com"
201.43.42.43 - - [15/Apr/2016:03:36:29 -0700] "GET /js/docs.min.js HTTP/1.1" 200 43299 "http://superior-dentistry.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36" "superior-dentistry.com"
54.198.216.138 - - [15/Apr/2016:03:42:34 -0700] "GET /Dental-Sites-We-Like.html HTTP/1.1" 200 41845 "-" "Ruby" "www.superior-dentistry.com"
54.198.216.138 - - [15/Apr/2016:03:42:34 -0700] "GET /index.html HTTP/1.1" 200 38156 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
54.198.216.138 - - [15/Apr/2016:03:42:34 -0700] "GET /firstvisit.html HTTP/1.1" 200 24042 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
54.198.216.138 - - [15/Apr/2016:03:42:34 -0700] "GET /meet-staff.html HTTP/1.1" 200 22166 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
54.198.216.138 - - [15/Apr/2016:03:42:34 -0700] "GET /dental-implants.html HTTP/1.1" 404 89 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
54.198.216.138 - - [15/Apr/2016:03:42:34 -0700] "GET /wisdom-teeth.html HTTP/1.1" 404 89 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
54.198.216.138 - - [15/Apr/2016:03:42:34 -0700] "GET /contact-us.html HTTP/1.1" 200 23726 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
54.198.216.138 - - [15/Apr/2016:03:42:34 -0700] "GET /services.html HTTP/1.1" 200 34137 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
54.198.216.138 - - [15/Apr/2016:03:42:34 -0700] "GET /extractions.html HTTP/1.1" 404 89 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
54.198.216.138 - - [15/Apr/2016:03:42:34 -0700] "GET /Patient-Before-After-Gallery.html HTTP/1.1" 200 23787 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
54.198.216.138 - - [15/Apr/2016:03:42:34 -0700] "GET /orthognathic-jaw-surgery.html HTTP/1.1" 404 89 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
54.198.216.138 - - [15/Apr/2016:03:42:34 -0700] "GET /Dental-Links.html HTTP/1.1" 200 27798 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
54.198.216.138 - - [15/Apr/2016:03:42:35 -0700] "GET /blog.php HTTP/1.1" 200 103129 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
54.198.216.138 - - [15/Apr/2016:03:42:35 -0700] "GET /testimonial.html HTTP/1.1" 404 89 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
54.198.216.138 - - [15/Apr/2016:03:42:35 -0700] "GET /contact-us.php HTTP/1.1" 200 73 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
