142.4.216.172 - - [19/May/2016:18:37:41 -0700] "GET /services.php HTTP/1.1" 200 73 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1" "www.superior-dentistry.com"
142.4.216.172 - - [19/May/2016:18:37:41 -0700] "GET /meet-staff.php HTTP/1.1" 200 73 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1" "www.superior-dentistry.com"
142.4.216.172 - - [19/May/2016:18:37:41 -0700] "GET /index.html HTTP/1.1" 200 38900 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.36" "www.superior-dentistry.com"
142.4.216.172 - - [19/May/2016:18:37:42 -0700] "GET /blog.php HTTP/1.1" 200 107037 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.36" "www.superior-dentistry.com"
142.4.216.172 - - [19/May/2016:18:37:42 -0700] "GET /dental-links.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)" "www.superior-dentistry.com"
142.4.216.172 - - [19/May/2016:18:37:42 -0700] "GET /dentistry-maryland-md.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1" "www.superior-dentistry.com"
142.4.216.172 - - [19/May/2016:18:37:42 -0700] "GET /dental-sites-we-like.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1" "www.superior-dentistry.com"
142.4.216.172 - - [19/May/2016:18:37:42 -0700] "GET /dental-linkexchange.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)" "www.superior-dentistry.com"
67.132.206.254 - - [19/May/2016:19:04:34 -0700] "GET / HTTP/1.1" 200 38900 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36" "www.superior-dentistry.com"
123.125.71.79 - - [19/May/2016:19:18:54 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.superior-dentistry.com"[1]
180.76.15.145 - - [19/May/2016:19:41:54 -0700] "GET /css/bootstrap-theme.css HTTP/1.1" 200 19156 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.superior-dentistry.com"[1]
67.132.206.254 - - [19/May/2016:20:05:59 -0700] "GET / HTTP/1.1" 200 38900 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "www.superior-dentistry.com"
52.3.146.92 - - [19/May/2016:20:22:58 -0700] "GET /services.html HTTP/1.1" 200 34139 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [19/May/2016:20:23:11 -0700] "GET /Dental-Links.html HTTP/1.1" 200 27799 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [19/May/2016:20:23:15 -0700] "GET /extractions.html HTTP/1.1" 404 89 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
