209.112.149.21 - - [27/Aug/2016:17:41:57 -0700] "GET /img/slider3.jpg HTTP/1.1" 200 217901 "http://www.superior-dentistry.com/" "Mozilla/5.0 (iPad; CPU OS 6_1_3 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B329 Safari/8536.25" "www.superior-dentistry.com"
209.112.149.21 - - [27/Aug/2016:17:41:57 -0700] "GET /img/slider1.jpg HTTP/1.1" 200 268888 "http://www.superior-dentistry.com/" "Mozilla/5.0 (iPad; CPU OS 6_1_3 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B329 Safari/8536.25" "www.superior-dentistry.com"
209.112.149.21 - - [27/Aug/2016:17:41:57 -0700] "GET /img/slider2.jpg HTTP/1.1" 200 345766 "http://www.superior-dentistry.com/" "Mozilla/5.0 (iPad; CPU OS 6_1_3 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B329 Safari/8536.25" "www.superior-dentistry.com"
209.112.149.21 - - [27/Aug/2016:17:41:57 -0700] "GET /img/offer-31-05-2014-whitening.jpg HTTP/1.1" 200 15686 "http://www.superior-dentistry.com/" "Mozilla/5.0 (iPad; CPU OS 6_1_3 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B329 Safari/8536.25" "www.superior-dentistry.com"
209.112.149.21 - - [27/Aug/2016:17:41:58 -0700] "GET /img/offer-31-05-2014-sonicare-brush.jpg HTTP/1.1" 200 13165 "http://www.superior-dentistry.com/" "Mozilla/5.0 (iPad; CPU OS 6_1_3 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B329 Safari/8536.25" "www.superior-dentistry.com"
209.112.149.21 - - [27/Aug/2016:17:41:58 -0700] "GET /img/offer-31-05-2014-new-patient.jpg HTTP/1.1" 200 15365 "http://www.superior-dentistry.com/" "Mozilla/5.0 (iPad; CPU OS 6_1_3 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B329 Safari/8536.25" "www.superior-dentistry.com"
209.112.149.21 - - [27/Aug/2016:17:43:17 -0700] "GET /apple-touch-icon-144x144-precomposed.png HTTP/1.1" 404 89 "-" "MobileSafari/8536.25 CFNetwork/609.1.4 Darwin/13.0.0" "www.superior-dentistry.com"
209.112.149.21 - - [27/Aug/2016:17:43:17 -0700] "GET /apple-touch-icon-144x144.png HTTP/1.1" 404 89 "-" "MobileSafari/8536.25 CFNetwork/609.1.4 Darwin/13.0.0" "www.superior-dentistry.com"
209.112.149.21 - - [27/Aug/2016:17:43:17 -0700] "GET /apple-touch-icon.png HTTP/1.1" 404 89 "-" "MobileSafari/8536.25 CFNetwork/609.1.4 Darwin/13.0.0" "www.superior-dentistry.com"[0]
209.112.149.21 - - [27/Aug/2016:17:44:08 -0700] "GET /img/night-guard.jpg HTTP/1.1" 200 106940 "http://www.superior-dentistry.com/services.html" "Mozilla/5.0 (iPad; CPU OS 6_1_3 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B329 Safari/8536.25" "www.superior-dentistry.com"
209.112.149.21 - - [27/Aug/2016:17:44:09 -0700] "GET /img/implant-before-and-after.jpg HTTP/1.1" 200 122702 "http://www.superior-dentistry.com/services.html" "Mozilla/5.0 (iPad; CPU OS 6_1_3 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B329 Safari/8536.25" "www.superior-dentistry.com"
209.112.149.21 - - [27/Aug/2016:17:44:09 -0700] "GET /img/periodontalsurgery.jpg HTTP/1.1" 200 56963 "http://www.superior-dentistry.com/services.html" "Mozilla/5.0 (iPad; CPU OS 6_1_3 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B329 Safari/8536.25" "www.superior-dentistry.com"[0]
209.112.149.21 - - [27/Aug/2016:17:44:09 -0700] "GET /img/dental-extractions.jpg HTTP/1.1" 200 165246 "http://www.superior-dentistry.com/services.html" "Mozilla/5.0 (iPad; CPU OS 6_1_3 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B329 Safari/8536.25" "www.superior-dentistry.com"
209.112.149.21 - - [27/Aug/2016:17:44:10 -0700] "GET /img/bridges-dentist-md.jpg HTTP/1.1" 200 67242 "http://www.superior-dentistry.com/services.html" "Mozilla/5.0 (iPad; CPU OS 6_1_3 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B329 Safari/8536.25" "www.superior-dentistry.com"
209.112.149.21 - - [27/Aug/2016:17:44:10 -0700] "GET /img/care3.jpg HTTP/1.1" 200 62411 "http://www.superior-dentistry.com/services.html" "Mozilla/5.0 (iPad; CPU OS 6_1_3 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B329 Safari/8536.25" "www.superior-dentistry.com"
209.112.149.21 - - [27/Aug/2016:17:44:11 -0700] "GET /img/Lumineers.jpg HTTP/1.1" 200 70250 "http://www.superior-dentistry.com/services.html" "Mozilla/5.0 (iPad; CPU OS 6_1_3 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B329 Safari/8536.25" "www.superior-dentistry.com"
199.59.148.210 - - [27/Aug/2016:17:44:18 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
199.59.148.210 - - [27/Aug/2016:17:44:18 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
199.59.148.210 - - [27/Aug/2016:17:44:18 -0700] "GET /images/endodontia-root-canal-treatment.jpg HTTP/1.1" 404 89 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
199.59.148.210 - - [27/Aug/2016:17:44:18 -0700] "GET /images/logo1.jpg HTTP/1.1" 404 89 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
