119.160.193.202 - - [18/Dec/2015:21:59:04 -0800] "GET /img/wisdom-teeth-extraction.jpg HTTP/1.1" 200 23758 "http://superior-dentistry.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36" "superior-dentistry.com"
119.160.193.202 - - [18/Dec/2015:21:59:04 -0800] "GET /img/jaw-surgery.jpg HTTP/1.1" 200 27058 "http://superior-dentistry.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36" "superior-dentistry.com"
119.160.193.202 - - [18/Dec/2015:21:59:04 -0800] "GET /img/dental-implants.jpg HTTP/1.1" 200 22844 "http://superior-dentistry.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36" "superior-dentistry.com"
119.160.193.202 - - [18/Dec/2015:21:59:04 -0800] "GET /img/logo.jpg HTTP/1.1" 200 139628 "http://superior-dentistry.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36" "superior-dentistry.com"
119.160.193.202 - - [18/Dec/2015:21:59:05 -0800] "GET /img/tmj-trauma.jpg HTTP/1.1" 200 22488 "http://superior-dentistry.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36" "superior-dentistry.com"
119.160.193.202 - - [18/Dec/2015:21:59:05 -0800] "GET /img/slider1.jpg HTTP/1.1" 200 268888 "http://superior-dentistry.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36" "superior-dentistry.com"
119.160.193.202 - - [18/Dec/2015:21:59:05 -0800] "GET /img/slider2.jpg HTTP/1.1" 200 345766 "http://superior-dentistry.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36" "superior-dentistry.com"
119.160.193.202 - - [18/Dec/2015:21:59:05 -0800] "GET /img/slider3.jpg HTTP/1.1" 200 217901 "http://superior-dentistry.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36" "superior-dentistry.com"
119.160.193.202 - - [18/Dec/2015:21:59:06 -0800] "GET /img/zocdoc-apt.jpg HTTP/1.1" 200 79396 "http://superior-dentistry.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36" "www.superior-dentistry.com"
119.160.193.202 - - [18/Dec/2015:21:59:06 -0800] "GET /img/meetdr-melika.jpg HTTP/1.1" 200 75968 "http://superior-dentistry.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36" "superior-dentistry.com"
119.160.193.202 - - [18/Dec/2015:21:59:07 -0800] "GET /img/offer-31-05-2014-sonicare-brush.jpg HTTP/1.1" 200 13165 "http://superior-dentistry.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36" "superior-dentistry.com"
119.160.193.202 - - [18/Dec/2015:21:59:09 -0800] "GET /fonts/fontawesome-webfont.ttf?v=4.3.0 HTTP/1.1" 200 122092 "http://superior-dentistry.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36" "superior-dentistry.com"
208.122.6.102 - - [18/Dec/2015:22:00:22 -0800] "GET / HTTP/1.1" 200 38156 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
52.0.238.61 - - [18/Dec/2015:22:08:52 -0800] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (compatible; proximic; +http://www.proximic.com/info/spider.php)" "superior-dentistry.com"
207.46.13.124 - - [18/Dec/2015:22:23:52 -0800] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
95.142.163.99 - - [18/Dec/2015:22:35:13 -0800] "GET /contact-us.php HTTP/1.1" 200 73 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:26.0) Gecko/20100101 Firefox/26.0" "www.superior-dentistry.com"
54.225.99.218 - - [18/Dec/2015:22:58:45 -0800] "HEAD /Dental-LinkExchange.html HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.7.5) Gecko/20041107 Firefox/1.0" "superior-dentistry.com"
54.225.99.218 - - [18/Dec/2015:22:58:45 -0800] "GET /Dental-LinkExchange.html HTTP/1.1" 200 25575 "-" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.7.5) Gecko/20041107 Firefox/1.0" "superior-dentistry.com"
54.225.99.218 - - [18/Dec/2015:22:58:45 -0800] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)" "superior-dentistry.com"
180.76.15.28 - - [18/Dec/2015:23:00:45 -0800] "GET /js/jquery.easing.1.3.js HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "superior-dentistry.com"
208.122.6.102 - - [18/Dec/2015:23:01:50 -0800] "GET / HTTP/1.1" 200 38156 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
54.187.209.40 - - [18/Dec/2015:23:06:37 -0800] "GET /robots.txt HTTP/1.1" 200 49 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
54.187.209.40 - - [18/Dec/2015:23:06:37 -0800] "GET / HTTP/1.1" 200 38156 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
54.187.209.40 - - [18/Dec/2015:23:06:39 -0800] "GET /index.html HTTP/1.1" 200 38156 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
54.187.209.40 - - [18/Dec/2015:23:06:44 -0800] "GET /services.html HTTP/1.1" 200 34114 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
54.187.209.40 - - [18/Dec/2015:23:06:52 -0800] "GET /blog.php HTTP/1.1" 200 99736 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
54.187.209.40 - - [18/Dec/2015:23:06:54 -0800] "GET /contact-us.html HTTP/1.1" 200 23726 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
54.187.209.40 - - [18/Dec/2015:23:06:55 -0800] "GET /Dentistry-Maryland-MD.html HTTP/1.1" 200 31039 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
