199.244.214.105 - - [29/Jun/2016:05:19:47 -0700] "GET /css/bootstrap.css HTTP/1.1" 200 138415 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36" "www.superior-dentistry.com"
199.244.214.105 - - [29/Jun/2016:05:19:47 -0700] "GET /fonts/fontawesome-webfont.woff2?v=4.3.0 HTTP/1.1" 200 56780 "http://www.superior-dentistry.com/css/font-awesome.css" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36" "www.superior-dentistry.com"
199.244.214.105 - - [29/Jun/2016:05:19:47 -0700] "GET /img/zocdoc-apt.jpg HTTP/1.1" 200 79396 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36" "www.superior-dentistry.com"
69.30.221.250 - - [29/Jun/2016:05:23:19 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "www.superior-dentistry.com"
113.180.86.112 - - [29/Jun/2016:06:05:11 -0700] "GET /?author=1 HTTP/1.1" 200 38900 "-" "Mozilla/5.0 (Windows NT 6.3; WOW64; rv:28.0) Gecko/20100101 Firefox/28.0" "superior-dentistry.com"
113.180.86.112 - - [29/Jun/2016:06:05:12 -0700] "GET /administrator/index.php HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 6.3; WOW64; rv:28.0) Gecko/20100101 Firefox/28.0" "superior-dentistry.com"
100.16.67.72 - - [29/Jun/2016:06:15:58 -0700] "GET /Dentist-Bowie-MD/Tooth-Extractions-Maryland-MD.html HTTP/1.1" 200 31634 "https://www.google.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13E238 Safari/601.1" "www.superior-dentistry.com"
100.16.67.72 - - [29/Jun/2016:06:15:58 -0700] "GET /Dentist-Bowie-MD/theme.css HTTP/1.1" 200 1926 "http://www.superior-dentistry.com/Dentist-Bowie-MD/Tooth-Extractions-Maryland-MD.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13E238 Safari/601.1" "www.superior-dentistry.com"
100.16.67.72 - - [29/Jun/2016:06:15:58 -0700] "GET /Dentist-Bowie-MD/css/bootstrap-theme.css HTTP/1.1" 200 19156 "http://www.superior-dentistry.com/Dentist-Bowie-MD/Tooth-Extractions-Maryland-MD.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13E238 Safari/601.1" "www.superior-dentistry.com"
100.16.67.72 - - [29/Jun/2016:06:15:58 -0700] "GET /Dentist-Bowie-MD/js/ie-emulation-modes-warning.js HTTP/1.1" 200 2132 "http://www.superior-dentistry.com/Dentist-Bowie-MD/Tooth-Extractions-Maryland-MD.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13E238 Safari/601.1" "www.superior-dentistry.com"
100.16.67.72 - - [29/Jun/2016:06:15:58 -0700] "GET /Dentist-Bowie-MD/img/doctor-achievement.jpg HTTP/1.1" 200 200838 "http://www.superior-dentistry.com/Dentist-Bowie-MD/Tooth-Extractions-Maryland-MD.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13E238 Safari/601.1" "www.superior-dentistry.com"
