40.77.167.90 - - [08/May/2016:04:46:17 -0700] "GET /Dentist-Bowie-MD/Periodontal-Services-Maryland-MD.html HTTP/1.1" 200 25411 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
198.16.7.150 - - [08/May/2016:05:08:52 -0700] "GET / HTTP/1.1" 200 38900 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
198.16.7.150 - - [08/May/2016:06:09:48 -0700] "GET / HTTP/1.1" 200 38900 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
198.16.7.150 - - [08/May/2016:07:12:23 -0700] "GET / HTTP/1.1" 200 38900 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
107.170.42.238 - - [08/May/2016:07:30:31 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (compatible; spbot/5.0.1; +http://OpenLinkProfiler.org/bot )" "superior-dentistry.com"
107.170.42.238 - - [08/May/2016:07:31:02 -0700] "GET /meet-staff.php HTTP/1.1" 200 73 "http://www.superior-dentistry.com/blog.php" "Mozilla/5.0 (compatible; spbot/5.0.1; +http://OpenLinkProfiler.org/bot )" "www.superior-dentistry.com"
107.170.42.238 - - [08/May/2016:07:31:07 -0700] "GET /contact-us.html HTTP/1.1" 200 23728 "http://www.superior-dentistry.com/" "Mozilla/5.0 (compatible; spbot/5.0.1; +http://OpenLinkProfiler.org/bot )" "www.superior-dentistry.com"
107.170.42.238 - - [08/May/2016:07:31:12 -0700] "GET /meet-staff.html HTTP/1.1" 200 22168 "http://www.superior-dentistry.com/" "Mozilla/5.0 (compatible; spbot/5.0.1; +http://OpenLinkProfiler.org/bot )" "www.superior-dentistry.com"
107.170.42.238 - - [08/May/2016:07:31:17 -0700] "GET /firstvisit.html HTTP/1.1" 200 24044 "http://www.superior-dentistry.com/" "Mozilla/5.0 (compatible; spbot/5.0.1; +http://OpenLinkProfiler.org/bot )" "www.superior-dentistry.com"
107.170.42.238 - - [08/May/2016:07:31:26 -0700] "GET /testimonials.html HTTP/1.1" 200 24785 "http://www.superior-dentistry.com/" "Mozilla/5.0 (compatible; spbot/5.0.1; +http://OpenLinkProfiler.org/bot )" "www.superior-dentistry.com"[0]
107.170.42.238 - - [08/May/2016:07:31:32 -0700] "GET /Dentists-Bowie-MD.html HTTP/1.1" 200 27344 "http://www.superior-dentistry.com/" "Mozilla/5.0 (compatible; spbot/5.0.1; +http://OpenLinkProfiler.org/bot )" "www.superior-dentistry.com"
107.170.42.238 - - [08/May/2016:07:31:37 -0700] "GET /Dental-LinkExchange.html HTTP/1.1" 200 24959 "http://www.superior-dentistry.com/" "Mozilla/5.0 (compatible; spbot/5.0.1; +http://OpenLinkProfiler.org/bot )" "www.superior-dentistry.com"
107.170.42.238 - - [08/May/2016:07:31:42 -0700] "GET /Dental-Sites-We-Like.html HTTP/1.1" 200 41846 "http://www.superior-dentistry.com/" "Mozilla/5.0 (compatible; spbot/5.0.1; +http://OpenLinkProfiler.org/bot )" "www.superior-dentistry.com"
107.170.42.238 - - [08/May/2016:07:31:47 -0700] "GET /Dentistry-Maryland-MD.html HTTP/1.1" 200 30875 "http://www.superior-dentistry.com/" "Mozilla/5.0 (compatible; spbot/5.0.1; +http://OpenLinkProfiler.org/bot )" "www.superior-dentistry.com"
107.170.42.238 - - [08/May/2016:07:31:52 -0700] "GET /Patient-Before-After-Gallery.html HTTP/1.1" 200 23787 "http://www.superior-dentistry.com/" "Mozilla/5.0 (compatible; spbot/5.0.1; +http://OpenLinkProfiler.org/bot )" "www.superior-dentistry.com"
107.170.42.238 - - [08/May/2016:07:31:57 -0700] "GET /Bowie-Dentists/Periodontal-Therapy-Maryland.html HTTP/1.1" 404 89 "http://www.superior-dentistry.com/" "Mozilla/5.0 (compatible; spbot/5.0.1; +http://OpenLinkProfiler.org/bot )" "www.superior-dentistry.com"
107.170.42.238 - - [08/May/2016:07:32:07 -0700] "GET /Bowie-Dentists/blog.php HTTP/1.1" 200 416 "http://www.superior-dentistry.com/Bowie-Dentists/Childrens-Dentistry-Maryland.html" "Mozilla/5.0 (compatible; spbot/5.0.1; +http://OpenLinkProfiler.org/bot )" "www.superior-dentistry.com"
107.170.42.238 - - [08/May/2016:07:32:12 -0700] "GET /Bowie-Dentists/index.html HTTP/1.1" 404 89 "http://www.superior-dentistry.com/Bowie-Dentists/Childrens-Dentistry-Maryland.html" "Mozilla/5.0 (compatible; spbot/5.0.1; +http://OpenLinkProfiler.org/bot )" "www.superior-dentistry.com"
107.170.42.238 - - [08/May/2016:07:32:17 -0700] "GET /Bowie-Dentists/services.html HTTP/1.1" 404 89 "http://www.superior-dentistry.com/Bowie-Dentists/Childrens-Dentistry-Maryland.html" "Mozilla/5.0 (compatible; spbot/5.0.1; +http://OpenLinkProfiler.org/bot )" "www.superior-dentistry.com"
107.170.42.238 - - [08/May/2016:07:32:22 -0700] "GET /Bowie-Dentists/contact-us.html HTTP/1.1" 404 89 "http://www.superior-dentistry.com/Bowie-Dentists/Childrens-Dentistry-Maryland.html" "Mozilla/5.0 (compatible; spbot/5.0.1; +http://OpenLinkProfiler.org/bot )" "www.superior-dentistry.com"
107.170.42.238 - - [08/May/2016:07:32:27 -0700] "GET /Bowie-Dentists/firstvisit.html HTTP/1.1" 404 89 "http://www.superior-dentistry.com/Bowie-Dentists/Childrens-Dentistry-Maryland.html" "Mozilla/5.0 (compatible; spbot/5.0.1; +http://OpenLinkProfiler.org/bot )" "www.superior-dentistry.com"
107.170.42.238 - - [08/May/2016:07:32:37 -0700] "GET /Bowie-Dentists/testimonials.html HTTP/1.1" 404 89 "http://www.superior-dentistry.com/Bowie-Dentists/Childrens-Dentistry-Maryland.html" "Mozilla/5.0 (compatible; spbot/5.0.1; +http://OpenLinkProfiler.org/bot )" "www.superior-dentistry.com"
107.170.42.238 - - [08/May/2016:07:32:47 -0700] "GET /Bowie-Dentists/Patient-Before-After-Gallery.html HTTP/1.1" 404 89 "http://www.superior-dentistry.com/Bowie-Dentists/Childrens-Dentistry-Maryland.html" "Mozilla/5.0 (compatible; spbot/5.0.1; +http://OpenLinkProfiler.org/bot )" "www.superior-dentistry.com"
107.170.42.238 - - [08/May/2016:07:32:57 -0700] "GET /index.php HTTP/1.1" 200 73 "http://www.superior-dentistry.com/Dentist-Bowie-MD/Dental-Implants-Maryland-MD.html" "Mozilla/5.0 (compatible; spbot/5.0.1; +http://OpenLinkProfiler.org/bot )" "www.superior-dentistry.com"
178.137.83.178 - - [08/May/2016:07:47:06 -0700] "GET / HTTP/1.1" 200 38900 "http://www.mosrif.ru/produktsiya" "Mozilla/4.0 (compatible; MSIE 5.5; Windows NT 5.0; .NET CLR 1.1.4322)" "www.superior-dentistry.com"
178.137.83.178 - - [08/May/2016:07:47:07 -0700] "GET / HTTP/1.1" 200 38900 "http://www.mosrif.ru/produktsiya" "Mozilla/4.0 (compatible; MSIE 5.5; Windows NT 5.0; .NET CLR 1.1.4322)" "www.superior-dentistry.com"
178.137.83.178 - - [08/May/2016:07:47:07 -0700] "GET / HTTP/1.1" 200 38900 "http://www.mosrif.ru/produktsiya" "Mozilla/4.0 (compatible; MSIE 5.5; Windows NT 5.0; .NET CLR 1.1.4322)" "www.superior-dentistry.com"
141.8.143.182 - - [08/May/2016:07:53:29 -0700] "GET /Bowie-Dentists/Patient-Before-After-Gallery.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "www.superior-dentistry.com"
40.77.167.3 - - [08/May/2016:07:55:39 -0700] "GET /Patient-Before-After-Gallery.html HTTP/1.1" 200 23787 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
198.16.7.150 - - [08/May/2016:08:13:14 -0700] "GET / HTTP/1.1" 200 38900 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
66.249.69.77 - - [08/May/2016:08:32:33 -0700] "GET /assets/flash/ZeroClipboard.swf?noCache=1462665600033&trustedOrigins=www.superior-dentistry.com%2C%2F%2Fwww.superior-dentistry.com%2Chttp%3A%2F%2Fwww.superior-dentistry.com HTTP/1.1" 404 89 "-" "Googlebot-Video/1.0" "www.superior-dentistry.com"
40.77.167.3 - - [08/May/2016:08:49:38 -0700] "GET /firstvisit.html HTTP/1.1" 200 24044 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
40.77.167.90 - - [08/May/2016:08:55:48 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "superior-dentistry.com"
198.16.7.150 - - [08/May/2016:09:14:25 -0700] "GET / HTTP/1.1" 200 38900 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
40.77.167.90 - - [08/May/2016:09:44:22 -0700] "GET /contact-us.php HTTP/1.1" 200 73 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
40.77.167.90 - - [08/May/2016:09:44:22 -0700] "GET /Patient-Information-Form.pdf HTTP/1.1" 200 1498629 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
52.3.146.92 - - [08/May/2016:09:46:53 -0700] "GET / HTTP/1.1" 200 38900 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [08/May/2016:09:46:54 -0700] "GET /index.html HTTP/1.1" 200 38900 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"[0]
52.3.146.92 - - [08/May/2016:09:46:56 -0700] "GET /meet-staff.html HTTP/1.1" 200 22168 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
173.252.90.107 - - [08/May/2016:09:47:07 -0700] "GET /images/care2.jpg HTTP/1.1" 404 89 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "www.superior-dentistry.com"
52.3.146.92 - - [08/May/2016:09:47:20 -0700] "GET /firstvisit.html HTTP/1.1" 200 24044 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [08/May/2016:09:47:21 -0700] "GET /Patient-Before-After-Gallery.html HTTP/1.1" 200 23787 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [08/May/2016:09:47:53 -0700] "GET /contact-us.html HTTP/1.1" 200 23728 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [08/May/2016:09:47:54 -0700] "GET /Dentistry-Maryland-MD.html HTTP/1.1" 200 30875 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"[0]
52.3.146.92 - - [08/May/2016:09:47:57 -0700] "GET /testimonial.html HTTP/1.1" 404 89 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [08/May/2016:09:47:59 -0700] "GET /Dentists-Bowie-MD.html HTTP/1.1" 200 27344 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [08/May/2016:09:48:00 -0700] "GET /Dental-Links.html HTTP/1.1" 200 27799 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [08/May/2016:09:48:02 -0700] "GET /wisdom-teeth.html HTTP/1.1" 404 89 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [08/May/2016:09:48:03 -0700] "GET /extractions.html HTTP/1.1" 404 89 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
