207.46.13.134 - - [29/Mar/2016:01:37:50 -0700] "GET /Dentist-Bowie-MD/css/js-image-slider.css HTTP/1.1" 200 2917 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
207.46.13.134 - - [29/Mar/2016:01:37:50 -0700] "GET /images/Patient-apt-icon2.png HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
207.46.13.134 - - [29/Mar/2016:01:37:50 -0700] "GET /images/care5.jpg HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
207.46.13.134 - - [29/Mar/2016:01:37:51 -0700] "GET /images/services3.png HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
157.55.39.181 - - [29/Mar/2016:01:37:55 -0700] "GET /images/care1.jpg HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
40.77.167.18 - - [29/Mar/2016:01:38:00 -0700] "GET /Dentist-Bowie-MD/js/js-image-slider.js HTTP/1.1" 200 15260 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
40.77.167.18 - - [29/Mar/2016:01:38:00 -0700] "GET /images/care6.jpg HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
207.46.13.156 - - [29/Mar/2016:01:38:05 -0700] "GET /images/care2.jpg HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
82.193.127.15 - - [29/Mar/2016:01:48:49 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "www.superior-dentistry.com"
82.193.127.15 - - [29/Mar/2016:01:49:04 -0700] "GET / HTTP/1.1" 200 38156 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "www.superior-dentistry.com"
52.3.146.92 - - [29/Mar/2016:01:55:58 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [29/Mar/2016:01:55:58 -0700] "GET / HTTP/1.1" 200 38156 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [29/Mar/2016:01:55:59 -0700] "GET /index.html HTTP/1.1" 200 38156 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [29/Mar/2016:01:56:00 -0700] "GET / HTTP/1.1" 200 38156 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [29/Mar/2016:01:56:03 -0700] "GET /services.html HTTP/1.1" 200 34114 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [29/Mar/2016:01:56:04 -0700] "GET /firstvisit.html HTTP/1.1" 200 24042 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [29/Mar/2016:01:56:05 -0700] "GET /Patient-Before-After-Gallery.html HTTP/1.1" 200 23787 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [29/Mar/2016:01:56:08 -0700] "GET /contact-us.html HTTP/1.1" 200 23726 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [29/Mar/2016:01:56:09 -0700] "GET /Dentistry-Maryland-MD.html HTTP/1.1" 200 30866 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [29/Mar/2016:01:56:10 -0700] "GET /contact-us.php HTTP/1.1" 200 73 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [29/Mar/2016:01:56:12 -0700] "GET /testimonials.html HTTP/1.1" 200 24783 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [29/Mar/2016:01:56:15 -0700] "GET /services.php HTTP/1.1" 200 73 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [29/Mar/2016:01:56:16 -0700] "GET /Dentist-Bowie-MD/Dental-Implants-Maryland-MD.html HTTP/1.1" 200 33055 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [29/Mar/2016:01:56:18 -0700] "GET /index.php HTTP/1.1" 200 73 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [29/Mar/2016:01:56:21 -0700] "GET /dental-implants.html HTTP/1.1" 404 89 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [29/Mar/2016:01:56:22 -0700] "GET /wisdom-teeth.html HTTP/1.1" 404 89 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [29/Mar/2016:01:56:24 -0700] "GET /extractions.html HTTP/1.1" 404 89 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [29/Mar/2016:01:56:25 -0700] "GET /orthognathic-jaw-surgery.html HTTP/1.1" 404 89 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [29/Mar/2016:01:56:26 -0700] "GET /oral-pathology.html HTTP/1.1" 404 89 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [29/Mar/2016:01:56:27 -0700] "GET /tmj-disorder.html HTTP/1.1" 404 89 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
180.76.15.13 - - [29/Mar/2016:02:02:25 -0700] "GET /index.html HTTP/1.1" 200 38156 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "superior-dentistry.com"
198.16.7.150 - - [29/Mar/2016:02:35:42 -0700] "GET / HTTP/1.1" 200 38156 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
199.30.25.71 - - [29/Mar/2016:02:38:51 -0700] "GET /Dentist-Bowie-MD/css/forms.css HTTP/1.1" 200 2909 "http://www.superior-dentistry.com/Dentist-Bowie-MD/Dental-Implants-Maryland-MD.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534+ (KHTML, like Gecko) BingPreview/1.0b" "www.superior-dentistry.com"
199.30.25.71 - - [29/Mar/2016:02:38:51 -0700] "GET /Dentist-Bowie-MD/css/grid.css HTTP/1.1" 200 5182 "http://www.superior-dentistry.com/Dentist-Bowie-MD/Dental-Implants-Maryland-MD.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534+ (KHTML, like Gecko) BingPreview/1.0b" "www.superior-dentistry.com"
199.30.25.71 - - [29/Mar/2016:02:38:51 -0700] "GET /Dentist-Bowie-MD/css/reset.css HTTP/1.1" 200 922 "http://www.superior-dentistry.com/Dentist-Bowie-MD/Dental-Implants-Maryland-MD.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534+ (KHTML, like Gecko) BingPreview/1.0b" "www.superior-dentistry.com"
199.30.25.71 - - [29/Mar/2016:02:38:51 -0700] "GET /Dentist-Bowie-MD/css/font/delicious-roman.ttf HTTP/1.1" 404 89 "http://www.superior-dentistry.com/Dentist-Bowie-MD/Dental-Implants-Maryland-MD.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534+ (KHTML, like Gecko) BingPreview/1.0b" "www.superior-dentistry.com"
199.30.25.71 - - [29/Mar/2016:02:38:52 -0700] "GET /Dentist-Bowie-MD/css/images/overlay.png HTTP/1.1" 404 89 "http://www.superior-dentistry.com/Dentist-Bowie-MD/Dental-Implants-Maryland-MD.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534+ (KHTML, like Gecko) BingPreview/1.0b" "www.superior-dentistry.com"
199.30.25.71 - - [29/Mar/2016:02:38:52 -0700] "GET /Dentist-Bowie-MD/css/font/delicious-roman.svg HTTP/1.1" 404 89 "http://www.superior-dentistry.com/Dentist-Bowie-MD/Dental-Implants-Maryland-MD.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534+ (KHTML, like Gecko) BingPreview/1.0b" "www.superior-dentistry.com"
40.77.167.18 - - [29/Mar/2016:03:23:24 -0700] "GET /services.php HTTP/1.1" 200 73 "-" "msnbot-media/1.1 (+http://search.msn.com/msnbot.htm)" "www.superior-dentistry.com"
88.198.16.153 - - [29/Mar/2016:03:54:32 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "superior-dentistry.com"
88.198.16.153 - - [29/Mar/2016:03:54:34 -0700] "GET /Patient-Before-After-Gallery.html HTTP/1.1" 200 23787 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "superior-dentistry.com"
88.198.16.153 - - [29/Mar/2016:03:54:37 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "www.superior-dentistry.com"
88.198.16.153 - - [29/Mar/2016:03:54:40 -0700] "GET /index.php HTTP/1.1" 200 73 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "www.superior-dentistry.com"
88.198.16.153 - - [29/Mar/2016:03:56:49 -0700] "GET /robots.txt HTTP/1.0" 200 49 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "superior-dentistry.com"
