52.72.238.128 - - [19/Oct/2016:18:33:02 -0700] "HEAD /blog.php HTTP/1.1" 200 0 "http://superior-dentistry.com/" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0; SLCC1; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30618)" "superior-dentistry.com"
52.45.250.210 - - [19/Oct/2016:18:33:02 -0700] "HEAD /Dental-LinkExchange.html HTTP/1.1" 200 0 "http://superior-dentistry.com/" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0; SLCC1; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30618)" "superior-dentistry.com"
52.86.202.73 - - [19/Oct/2016:18:33:02 -0700] "HEAD / HTTP/1.1" 200 0 "http://superior-dentistry.com/" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0; SLCC1; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30618)" "www.superior-dentistry.com"
52.55.48.3 - - [19/Oct/2016:18:33:03 -0700] "HEAD /Bowie-Dentists/Periodontal-Therapy-Maryland.html HTTP/1.1" 404 0 "http://superior-dentistry.com/" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0; SLCC1; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30618)" "www.superior-dentistry.com"[0]
52.86.176.19 - - [19/Oct/2016:18:33:03 -0700] "HEAD /Patient-Before-After-Gallery.html HTTP/1.1" 200 0 "http://superior-dentistry.com/" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0; SLCC1; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30618)" "superior-dentistry.com"
52.55.48.3 - - [19/Oct/2016:18:33:03 -0700] "GET /index.html HTTP/1.1" 200 38900 "http://superior-dentistry.com/" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0; SLCC1; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30618)" "www.superior-dentistry.com"
52.55.131.124 - - [19/Oct/2016:18:33:04 -0700] "GET /Dentist-Bowie-MD/Tooth-Extractions-Maryland-MD.html HTTP/1.1" 200 31634 "http://superior-dentistry.com/" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0; SLCC1; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30618)" "www.superior-dentistry.com"
52.55.131.124 - - [19/Oct/2016:18:33:04 -0700] "GET /services.html HTTP/1.1" 200 34139 "http://superior-dentistry.com/" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0; SLCC1; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30618)" "superior-dentistry.com"
52.45.250.210 - - [19/Oct/2016:18:33:04 -0700] "GET /Dentist-Bowie-MD/Periodontal-Services-Maryland-MD.html HTTP/1.1" 200 25411 "http://superior-dentistry.com/" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0; SLCC1; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30618)" "www.superior-dentistry.com"
52.55.48.3 - - [19/Oct/2016:18:33:04 -0700] "GET /Dental-Links.html HTTP/1.1" 200 27799 "http://superior-dentistry.com/" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0; SLCC1; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30618)" "superior-dentistry.com"
52.55.131.124 - - [19/Oct/2016:18:33:05 -0700] "GET /Dentist-Bowie-MD/Dental-Implants-Maryland-MD.html HTTP/1.1" 200 32074 "http://superior-dentistry.com/" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0; SLCC1; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30618)" "www.superior-dentistry.com"
52.72.238.128 - - [19/Oct/2016:18:33:05 -0700] "GET /services.html HTTP/1.1" 200 34139 "http://superior-dentistry.com/" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0; SLCC1; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30618)" "www.superior-dentistry.com"
52.54.254.183 - - [19/Oct/2016:18:33:05 -0700] "GET /meet-staff.html HTTP/1.1" 200 22168 "http://superior-dentistry.com/" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0; SLCC1; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30618)" "www.superior-dentistry.com"
52.45.250.210 - - [19/Oct/2016:18:33:05 -0700] "GET /contact-us.html HTTP/1.1" 200 23728 "http://superior-dentistry.com/" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0; SLCC1; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30618)" "superior-dentistry.com"
52.54.254.183 - - [19/Oct/2016:18:33:05 -0700] "GET /testimonials.html HTTP/1.1" 200 24785 "http://superior-dentistry.com/" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0; SLCC1; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30618)" "superior-dentistry.com"
52.55.48.3 - - [19/Oct/2016:18:33:05 -0700] "GET /Bowie-Dentists/Childrens-Dentistry-Maryland.html HTTP/1.1" 200 28854 "http://superior-dentistry.com/" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0; SLCC1; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30618)" "www.superior-dentistry.com"
52.55.48.3 - - [19/Oct/2016:18:33:06 -0700] "GET /contact-us.html HTTP/1.1" 200 23728 "http://superior-dentistry.com/" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0; SLCC1; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30618)" "www.superior-dentistry.com"
52.86.202.73 - - [19/Oct/2016:18:33:06 -0700] "GET /blog.php HTTP/1.1" 200 107037 "http://superior-dentistry.com/" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0; SLCC1; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30618)" "superior-dentistry.com"
52.86.176.19 - - [19/Oct/2016:18:33:06 -0700] "GET /Dental-LinkExchange.html HTTP/1.1" 200 24959 "http://superior-dentistry.com/" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0; SLCC1; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30618)" "superior-dentistry.com"
52.86.176.19 - - [19/Oct/2016:18:33:06 -0700] "GET / HTTP/1.1" 200 38900 "http://superior-dentistry.com/" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0; SLCC1; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30618)" "www.superior-dentistry.com"
180.76.15.146 - - [19/Oct/2016:19:02:20 -0700] "GET /index.html HTTP/1.1" 200 38900 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "superior-dentistry.com"
180.76.15.33 - - [19/Oct/2016:19:02:21 -0700] "GET / HTTP/1.1" 200 38900 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "superior-dentistry.com"
180.76.15.145 - - [19/Oct/2016:19:08:41 -0700] "GET /index.php HTTP/1.1" 200 73 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.superior-dentistry.com"
187.250.185.40 - - [19/Oct/2016:19:28:03 -0700] "GET /img/invisalign.jpg HTTP/1.1" 200 142640 "https://www.google.com.mx/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36" "www.superior-dentistry.com"
198.16.7.150 - - [19/Oct/2016:19:48:18 -0700] "GET / HTTP/1.1" 200 38900 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
65.36.241.48 - - [19/Oct/2016:20:25:30 -0700] "HEAD / HTTP/1.1" 200 0 "-" "InternetSeer.com" "www.superior-dentistry.com"
66.249.69.150 - - [19/Oct/2016:20:37:41 -0700] "GET /img/office-slider4.jpg HTTP/1.1" 200 85815 "-" "Googlebot-Image/1.0" "www.superior-dentistry.com"[0]
198.16.7.150 - - [19/Oct/2016:20:50:11 -0700] "GET / HTTP/1.1" 200 38900 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
217.69.136.204 - - [19/Oct/2016:21:36:31 -0700] "GET /Bowie-Dentists/Patient-Before-After-Gallery.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Linux x86_64; Mail.RU_Bot/2.0; +http://go.mail.ru/help/robots)" "www.superior-dentistry.com"
198.16.7.150 - - [19/Oct/2016:21:51:39 -0700] "GET / HTTP/1.1" 200 38900 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
180.76.15.158 - - [19/Oct/2016:22:28:10 -0700] "GET / HTTP/1.1" 200 38900 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.93 Safari/537.36" "superior-dentistry.com"
180.76.15.18 - - [19/Oct/2016:22:28:11 -0700] "GET /js/ie-emulation-modes-warning.js HTTP/1.1" 200 2132 "http://superior-dentistry.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.93 Safari/537.36" "superior-dentistry.com"
180.76.15.140 - - [19/Oct/2016:22:28:13 -0700] "GET /js/bootstrap.min.js HTTP/1.1" 200 35601 "http://superior-dentistry.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.93 Safari/537.36" "superior-dentistry.com"
180.76.15.159 - - [19/Oct/2016:22:28:13 -0700] "GET /js/docs.min.js HTTP/1.1" 200 43299 "http://superior-dentistry.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.93 Safari/537.36" "superior-dentistry.com"
180.76.15.7 - - [19/Oct/2016:22:28:14 -0700] "GET /js/ie10-viewport-bug-workaround.js HTTP/1.1" 200 694 "http://superior-dentistry.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.93 Safari/537.36" "superior-dentistry.com"
