65.36.241.48 - - [25/Nov/2016:16:13:03 -0800] "HEAD / HTTP/1.1" 200 0 "-" "InternetSeer.com" "www.superior-dentistry.com"
202.171.212.175 - - [25/Nov/2016:18:18:55 -0800] "GET /Dentist-Bowie-MD/firstvisit.html HTTP/1.1" 404 89 "http://www.superior-dentistry.com/Dentist-Bowie-MD/Dental-Implants-Maryland-MD.html" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36" "www.superior-dentistry.com"
202.171.212.175 - - [25/Nov/2016:18:18:56 -0800] "GET /Dentist-Bowie-MD/Patient-Before-After-Gallery.html HTTP/1.1" 404 89 "http://www.superior-dentistry.com/Dentist-Bowie-MD/Dental-Implants-Maryland-MD.html" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36" "www.superior-dentistry.com"
202.171.212.175 - - [25/Nov/2016:18:18:56 -0800] "GET /Dentist-Bowie-MD/blog.php HTTP/1.1" 200 416 "http://www.superior-dentistry.com/Dentist-Bowie-MD/Dental-Implants-Maryland-MD.html" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36" "www.superior-dentistry.com"
202.171.212.175 - - [25/Nov/2016:18:18:56 -0800] "GET /Dentist-Bowie-MD/contact-us.html HTTP/1.1" 404 89 "http://www.superior-dentistry.com/Dentist-Bowie-MD/Dental-Implants-Maryland-MD.html" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36" "www.superior-dentistry.com"
202.171.212.175 - - [25/Nov/2016:18:18:56 -0800] "GET /index.php HTTP/1.1" 200 73 "http://www.superior-dentistry.com/Dentist-Bowie-MD/Dental-Implants-Maryland-MD.html" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36" "www.superior-dentistry.com"
202.171.212.175 - - [25/Nov/2016:18:18:57 -0800] "GET /firstvisit.php HTTP/1.1" 200 73 "http://www.superior-dentistry.com/Dentist-Bowie-MD/Dental-Implants-Maryland-MD.html" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36" "www.superior-dentistry.com"
202.171.212.175 - - [25/Nov/2016:18:18:57 -0800] "GET /Dentist-Bowie-MD/Dental-Links.html HTTP/1.1" 404 89 "http://www.superior-dentistry.com/Dentist-Bowie-MD/Dental-Implants-Maryland-MD.html" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36" "www.superior-dentistry.com"
202.171.212.175 - - [25/Nov/2016:18:18:57 -0800] "GET /Bowie-Dentists/meet-staff.php HTTP/1.1" 200 73 "http://www.superior-dentistry.com/Bowie-Dentists/Preventive-Dentistry-Maryland.html" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36" "www.superior-dentistry.com"
202.171.212.175 - - [25/Nov/2016:18:18:57 -0800] "GET /Bowie-Dentists/firstvisit.php HTTP/1.1" 200 73 "http://www.superior-dentistry.com/Bowie-Dentists/Preventive-Dentistry-Maryland.html" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36" "www.superior-dentistry.com"
202.171.212.175 - - [25/Nov/2016:18:18:57 -0800] "GET /Bowie-Dentists/testimonials.html HTTP/1.1" 404 89 "http://www.superior-dentistry.com/Bowie-Dentists/Preventive-Dentistry-Maryland.html" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36" "www.superior-dentistry.com"
202.171.212.175 - - [25/Nov/2016:18:18:58 -0800] "GET /Bowie-Dentists/meet-staff.html HTTP/1.1" 404 89 "http://www.superior-dentistry.com/Bowie-Dentists/Childrens-Dentistry-Maryland.html" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36" "www.superior-dentistry.com"
202.171.212.175 - - [25/Nov/2016:18:18:59 -0800] "GET /Bowie-Dentists/firstvisit.html HTTP/1.1" 404 89 "http://www.superior-dentistry.com/Bowie-Dentists/Childrens-Dentistry-Maryland.html" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36" "www.superior-dentistry.com"
