52.3.146.92 - - [17/Jun/2016:19:21:08 -0700] "GET /firstvisit.html HTTP/1.1" 200 24044 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [17/Jun/2016:19:21:19 -0700] "GET /testimonials.html HTTP/1.1" 200 24785 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [17/Jun/2016:19:21:21 -0700] "GET /testimonial.html HTTP/1.1" 404 89 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [17/Jun/2016:19:21:24 -0700] "GET /Dentists-Bowie-MD.html HTTP/1.1" 200 27344 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [17/Jun/2016:19:21:26 -0700] "GET /Dental-Links.html HTTP/1.1" 200 27799 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [17/Jun/2016:19:21:29 -0700] "GET /wisdom-teeth.html HTTP/1.1" 404 89 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [17/Jun/2016:19:21:31 -0700] "GET /extractions.html HTTP/1.1" 404 89 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [17/Jun/2016:19:21:33 -0700] "GET /oral-pathology.html HTTP/1.1" 404 89 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"[0]
52.3.146.92 - - [17/Jun/2016:19:21:35 -0700] "GET /tmj-disorder.html HTTP/1.1" 404 89 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [17/Jun/2016:19:21:48 -0700] "GET /firstvisit.php HTTP/1.1" 200 73 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
123.125.71.84 - - [17/Jun/2016:19:35:14 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "superior-dentistry.com"
123.125.71.27 - - [17/Jun/2016:19:35:50 -0700] "GET / HTTP/1.1" 200 38900 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "superior-dentistry.com"
180.76.15.138 - - [17/Jun/2016:19:51:11 -0700] "GET /Dentistry-Maryland-MD.html HTTP/1.1" 200 30875 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.superior-dentistry.com"
