71.126.141.32 - - [15/Nov/2016:18:51:28 -0800] "GET /js/bootstrap.min.js HTTP/1.1" 200 35601 "http://www.superior-dentistry.com/firstvisit.html" "Mozilla/5.0 (iPad; CPU OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13G36 Safari/601.1" "www.superior-dentistry.com"
71.126.141.32 - - [15/Nov/2016:18:51:28 -0800] "GET /img/office-slider3.jpg HTTP/1.1" 200 116344 "http://www.superior-dentistry.com/firstvisit.html" "Mozilla/5.0 (iPad; CPU OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13G36 Safari/601.1" "www.superior-dentistry.com"
71.126.141.32 - - [15/Nov/2016:18:51:28 -0800] "GET /img/office-slider1.jpg HTTP/1.1" 200 134555 "http://www.superior-dentistry.com/firstvisit.html" "Mozilla/5.0 (iPad; CPU OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13G36 Safari/601.1" "www.superior-dentistry.com"
71.126.141.32 - - [15/Nov/2016:18:51:28 -0800] "GET /img/office-slider4.jpg HTTP/1.1" 200 85815 "http://www.superior-dentistry.com/firstvisit.html" "Mozilla/5.0 (iPad; CPU OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13G36 Safari/601.1" "www.superior-dentistry.com"
71.126.141.32 - - [15/Nov/2016:18:51:28 -0800] "GET /img/offer-31-05-2014-new-patient.jpg HTTP/1.1" 200 15365 "http://www.superior-dentistry.com/firstvisit.html" "Mozilla/5.0 (iPad; CPU OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13G36 Safari/601.1" "www.superior-dentistry.com"
71.126.141.32 - - [15/Nov/2016:18:51:28 -0800] "GET /js/ie10-viewport-bug-workaround.js HTTP/1.1" 200 694 "http://www.superior-dentistry.com/firstvisit.html" "Mozilla/5.0 (iPad; CPU OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13G36 Safari/601.1" "www.superior-dentistry.com"
71.126.141.32 - - [15/Nov/2016:18:51:28 -0800] "GET /img/office-slider2.jpg HTTP/1.1" 200 148450 "http://www.superior-dentistry.com/firstvisit.html" "Mozilla/5.0 (iPad; CPU OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13G36 Safari/601.1" "www.superior-dentistry.com"
199.16.156.124 - - [15/Nov/2016:18:51:32 -0800] "GET /robots.txt HTTP/1.1" 200 49 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
199.16.156.124 - - [15/Nov/2016:18:51:32 -0800] "GET /images/logo1.jpg HTTP/1.1" 404 89 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
199.16.156.126 - - [15/Nov/2016:18:51:32 -0800] "GET /robots.txt HTTP/1.1" 200 49 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
71.126.141.32 - - [15/Nov/2016:18:54:21 -0800] "GET /firstvisit.html HTTP/1.1" 200 24044 "-" "Mozilla/5.0 (iPad; CPU OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13G36 Safari/601.1" "www.superior-dentistry.com"
71.126.141.32 - - [15/Nov/2016:18:54:21 -0800] "GET /css/font-awesome.css HTTP/1.1" 200 28747 "http://www.superior-dentistry.com/firstvisit.html" "Mozilla/5.0 (iPad; CPU OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13G36 Safari/601.1" "www.superior-dentistry.com"[0]
71.126.141.32 - - [15/Nov/2016:18:54:21 -0800] "GET /js/ie-emulation-modes-warning.js HTTP/1.1" 200 2132 "http://www.superior-dentistry.com/firstvisit.html" "Mozilla/5.0 (iPad; CPU OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13G36 Safari/601.1" "www.superior-dentistry.com"
71.126.141.32 - - [15/Nov/2016:18:54:21 -0800] "GET /theme.css HTTP/1.1" 200 1926 "http://www.superior-dentistry.com/firstvisit.html" "Mozilla/5.0 (iPad; CPU OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13G36 Safari/601.1" "www.superior-dentistry.com"
71.126.141.32 - - [15/Nov/2016:18:54:21 -0800] "GET /css/procedure-thumb.css HTTP/1.1" 200 2005 "http://www.superior-dentistry.com/firstvisit.html" "Mozilla/5.0 (iPad; CPU OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13G36 Safari/601.1" "www.superior-dentistry.com"
71.126.141.32 - - [15/Nov/2016:18:54:21 -0800] "GET /img/doctor-achievement.jpg HTTP/1.1" 200 200838 "http://www.superior-dentistry.com/firstvisit.html" "Mozilla/5.0 (iPad; CPU OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13G36 Safari/601.1" "www.superior-dentistry.com"
71.126.141.32 - - [15/Nov/2016:18:54:21 -0800] "GET /img/doc.png HTTP/1.1" 200 26918 "http://www.superior-dentistry.com/firstvisit.html" "Mozilla/5.0 (iPad; CPU OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13G36 Safari/601.1" "www.superior-dentistry.com"
