96.255.13.167 - - [22/Nov/2016:20:48:34 -0800] "GET /img/porcelain-veneers.jpg HTTP/1.1" 200 151567 "http://www.superior-dentistry.com/services.html" "Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0" "www.superior-dentistry.com"
96.255.13.167 - - [22/Nov/2016:20:48:46 -0800] "GET /img/endodontia-root-canal-treatment.jpg HTTP/1.1" 200 126762 "http://www.superior-dentistry.com/services.html" "Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0" "www.superior-dentistry.com"
96.255.13.167 - - [22/Nov/2016:20:49:04 -0800] "GET /index.html HTTP/1.1" 200 38900 "http://www.superior-dentistry.com/services.html" "Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0" "www.superior-dentistry.com"
96.255.13.167 - - [22/Nov/2016:20:49:05 -0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1479876545167 HTTP/1.1" 404 89 "http://www.superior-dentistry.com/index.html" "Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0" "www.superior-dentistry.com"
96.255.13.167 - - [22/Nov/2016:20:50:33 -0800] "GET /firstvisit.html HTTP/1.1" 200 24044 "http://www.superior-dentistry.com/meet-staff.html" "Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0" "www.superior-dentistry.com"
96.255.13.167 - - [22/Nov/2016:20:50:33 -0800] "GET /img/office-slider2.jpg HTTP/1.1" 200 148450 "http://www.superior-dentistry.com/firstvisit.html" "Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0" "www.superior-dentistry.com"
96.255.13.167 - - [22/Nov/2016:20:50:34 -0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1479876633376 HTTP/1.1" 404 89 "http://www.superior-dentistry.com/firstvisit.html" "Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0" "www.superior-dentistry.com"
96.255.13.167 - - [22/Nov/2016:20:51:44 -0800] "GET /blog.php HTTP/1.1" 200 107037 "http://www.superior-dentistry.com/firstvisit.html" "Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0" "www.superior-dentistry.com"
96.255.13.167 - - [22/Nov/2016:20:51:44 -0800] "GET /img/contact-img.jpg HTTP/1.1" 200 83148 "http://www.superior-dentistry.com/blog.php" "Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0" "www.superior-dentistry.com"
96.255.13.167 - - [22/Nov/2016:20:51:45 -0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1479876704358 HTTP/1.1" 404 89 "http://www.superior-dentistry.com/blog.php" "Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0" "www.superior-dentistry.com"
71.246.193.44 - - [22/Nov/2016:21:20:42 -0800] "GET /theme.css HTTP/1.1" 200 1926 "http://www.superior-dentistry.com/meet-staff.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0 Mobile/14B100 Safari/602.1" "www.superior-dentistry.com"
